SECOND DERIVATIVES (NOT SYMMETRIZED)
 ------------------------------------
             289X        289Y        289Z        290X        290Y        290Z        291X        291Y        291Z        292X        292Y        292Z        293X        293Y        293Z        294X        294Y        294Z        295X        295Y        295Z
289X   -55.551382  -15.986631   25.273259   34.084015    5.368668  -21.449495   -0.451306    0.744023   -1.226033    1.169287    0.014473   -1.341871    0.182184    0.243590   -0.310286   14.387500   13.133129    1.633567    5.343349   -2.584298   -3.942543
289Y   -15.987347  -44.733390  -15.228179    5.362051    8.868984   -0.317094    0.046686    0.003760    0.424764    1.977495   -0.184861   -1.420566   -1.617437   -0.596532    1.244675   12.862494   20.540331    3.142356   -2.238965   15.855886   12.824172
289Z    25.285395  -15.250697  -46.281307  -21.444794   -0.338628   22.019546    0.217369   -0.005503    0.117540    0.251489    0.205814   -0.533430   -1.932896   -0.308472    0.933586    1.250317    2.888594    4.949947   -3.789332   13.089404   18.402831
290X    34.113935    5.359530  -21.497978  -56.439350  -15.819923   25.144586    0.302655   -0.246864    0.483458   14.989070   13.225923    1.511557    5.573284   -2.843910   -4.046154    1.208266    0.083056   -1.346322    0.171647    0.274470   -0.301952
290Y     5.356717    8.860066   -0.329089  -15.786054  -44.809997  -15.161849    0.432450   -0.001890    0.252037   12.846515   20.120678    3.112413   -2.627983   16.264083   12.901077    1.949778   -0.214027   -1.462840   -1.636780   -0.570659    1.276282
290Z   -21.435565   -0.336533   22.008023   25.126535  -15.163914  -45.580966   -0.803544    0.540343   -0.482663    1.413754    2.861158    4.818752   -3.717664   13.128758   17.788518    0.259805    0.167665   -0.509868   -1.952781   -0.362795    0.920401
291X    -0.456376    0.044104    0.224056    0.318803    0.421615   -0.806701   -9.557159    6.621353   -9.116857    0.060957   -0.021298    0.064987    0.013692   -0.042312    0.032890   -0.051752    0.086753   -0.096965   -0.034639    0.037979   -0.054581
291Y     0.734680   -0.000668   -0.014342   -0.252826   -0.003854    0.534077    6.635555   -7.493413    9.333936    0.114291   -0.040128    0.078993   -0.034810    0.072898   -0.002420   -0.027557    0.150460   -0.070754    0.039032   -0.023534    0.119040
291Z    -1.206183    0.422396    0.120211    0.485155    0.244046   -0.473361   -9.148326    9.347864  -20.371145   -0.025442    0.033099   -0.015903   -0.108687    0.093575   -0.065800    0.018976   -0.046502   -0.001868    0.078709   -0.041847    0.109745
292X     1.165119    1.981195    0.240709   14.965858   12.831108    1.409677    0.081595    0.092792    0.004863  -15.604898  -14.398052   -1.068461   -0.589224   -0.489607   -0.225154   -0.142333    0.248774   -0.653059    0.121522   -0.277697    0.320342
292Y     0.006779   -0.192025    0.211531   13.215139   20.110146    2.849731   -0.021691   -0.030624    0.029545  -14.407639  -20.488607   -3.170210    1.148923    0.832444    0.020992    0.284224   -0.464697    0.375225   -0.265367    0.162639   -0.292129
292Z    -1.317952   -1.421716   -0.552226    1.545127    3.127620    4.799407    0.073711    0.074354   -0.008000   -1.083328   -3.196893   -4.080655    1.156240    1.370660   -0.071720   -0.621454    0.363201   -0.301059    0.342327   -0.308958    0.208663
293X     0.171769   -1.616420   -1.911200    5.613547   -2.617092   -3.717445    0.022495   -0.038123   -0.101336   -0.580541    1.158138    1.150873   -5.229388    2.948632    4.759368    0.118382   -0.270064    0.337654   -0.053213    0.428268   -0.582497
293Y     0.237316   -0.600009   -0.318305   -2.860137   16.262763   13.132089   -0.051893    0.076377    0.090895   -0.477210    0.848868    1.354546    2.939384  -16.267049  -14.233556   -0.258061    0.159348   -0.291571    0.407086   -0.431432    0.236897
293Z    -0.312915    1.248013    0.917109   -4.049981   12.887754   17.774166    0.030900   -0.009637   -0.052097   -0.222210    0.028733   -0.084993    4.767740  -14.239925  -18.457000    0.357751   -0.279559    0.242805   -0.590476    0.294285   -0.422092
294X    14.368092   12.831790    1.246772    1.201129    1.966321    0.250575   -0.034047   -0.038869    0.039810   -0.142847    0.297013   -0.626986    0.127173   -0.265405    0.335178  -15.166775  -14.364192   -1.049970   -0.533615   -0.540772   -0.194214
294Y    13.136924   20.517290    2.880566    0.072633   -0.209183    0.155638    0.087907    0.152929   -0.046276    0.241448   -0.464049    0.356180   -0.265428    0.165150   -0.278864  -14.384644  -20.983768   -3.148351    0.981073    0.785440   -0.003743
294Z     1.663059    3.146099    4.942350   -1.314932   -1.457989   -0.528299   -0.089273   -0.073278    0.005745   -0.646144    0.382632   -0.298751    0.337930   -0.298502    0.236844   -1.065067   -3.158407   -4.283687    1.145816    1.457473   -0.098775
295X     5.367496   -2.235043   -3.775652    0.168009   -1.636846   -1.938821   -0.021071    0.032512    0.089885    0.112028   -0.271551    0.342355   -0.052200    0.406577   -0.589835   -0.526571    0.986577    1.138153   -5.070388    2.693671    4.760671
295Y    -2.605848   15.860425   13.077379    0.269940   -0.579070   -0.362968    0.033953   -0.018905   -0.039031   -0.274720    0.155948   -0.302658    0.427713   -0.432315    0.295709   -0.533328    0.787868    1.430183    2.689073  -15.818164  -14.139881
295Z    -3.955443   12.828093   18.391839   -0.298834    1.267210    0.921456   -0.057674    0.115392    0.113370    0.328728   -0.291562    0.217393   -0.583807    0.234424   -0.424219   -0.187899    0.001411   -0.116595    4.772148  -14.158325  -19.083458
